CATEGORIES
cat_idx,cat_code,cat_desc,cat_indent
1,RATE,Rate,0
2,ESTIMATE,"Housing Inventory Estimate",0


"DATA TYPES"
dt_idx,dt_code,dt_desc,dt_unit
1,RVR,"Rental Vacancy Rate",PCT
2,HVR,"Homeowner Vacancy Rate",PCT
3,HOR,"Homeownership Rate",PCT
4,SAHOR,"Seasonally Adjusted Homeownership Rate",PCT
5,TOTAL,"Total Housing Units",K
6,OCC,"Occupied Housing Units",K
7,OWNOCC,"Owner Occupied Housing Units",K
8,RNTOCC,"Renter Occupied Housing Units",K
9,VACANT,"Vacant Housing Units",K
10,YRVAC,"Year-Round Vacant Housing Units",K
11,SEASON,"Seasonal Housing Units",K
12,RENT,"Vacant Housing Units for Rent",K
13,SALE,"Vacant Housing Units for Sale",K
14,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied",K
15,OFFMAR,"Vacant Housing Units Held Off the Market",K
16,OCCUSE,"Vacant Housing Units Held Off the Market and For Occasional Use",K
17,URE,"Vacant Housing Units Held Off the Market and Usual Residence Elsewhere",K
18,OTH,"Vacant Housing Units Held Off the Market and Vacant for Other Reasons",K


"ERROR TYPES"
et_idx,et_code,et_desc,et_unit
1,E_HOR,"Confidence Interval for Homeownership Rate",PCT
2,E_RVR,"Confidence Interval for Rental Vacancy Rate",PCT
3,E_HVR,"Confidence Interval for Homeowner Vacancy Rate",PCT


"GEO LEVELS"
geo_idx,geo_code,geo_desc
1,US,"United States"
2,NE,Northeast
3,MW,Midwest
4,SO,South
5,WE,West


"TIME PERIODS"
per_idx,per_name
1,Q11956
2,Q21956
3,Q31956
4,Q41956
5,Q11957
6,Q21957
7,Q31957
8,Q41957
9,Q11958
10,Q21958
11,Q31958
12,Q41958
13,Q11959
14,Q21959
15,Q31959
16,Q41959
17,Q11960
18,Q21960
19,Q31960
20,Q41960
21,Q11961
22,Q21961
23,Q31961
24,Q41961
25,Q11962
26,Q21962
27,Q31962
28,Q41962
29,Q11963
30,Q21963
31,Q31963
32,Q41963
33,Q11964
34,Q21964
35,Q31964
36,Q41964
37,Q11965
38,Q21965
39,Q31965
40,Q41965
41,Q11966
42,Q21966
43,Q31966
44,Q41966
45,Q11967
46,Q21967
47,Q31967
48,Q41967
49,Q11968
50,Q21968
51,Q31968
52,Q41968
53,Q11969
54,Q21969
55,Q31969
56,Q41969
57,Q11970
58,Q21970
59,Q31970
60,Q41970
61,Q11971
62,Q21971
63,Q31971
64,Q41971
65,Q11972
66,Q21972
67,Q31972
68,Q41972
69,Q11973
70,Q21973
71,Q31973
72,Q41973
73,Q11974
74,Q21974
75,Q31974
76,Q41974
77,Q11975
78,Q21975
79,Q31975
80,Q41975
81,Q11976
82,Q21976
83,Q31976
84,Q41976
85,Q11977
86,Q21977
87,Q31977
88,Q41977
89,Q11978
90,Q21978
91,Q31978
92,Q41978
93,Q11979
94,Q21979
95,Q31979
96,Q41979
97,Q11980
98,Q21980
99,Q31980
100,Q41980
101,Q11981
102,Q21981
103,Q31981
104,Q41981
105,Q11982
106,Q21982
107,Q31982
108,Q41982
109,Q11983
110,Q21983
111,Q31983
112,Q41983
113,Q11984
114,Q21984
