"cell_value","geo_level_code","data_type_code","time"
6709,"MW","RNTOCC","2000-Q2"
17428,"MW","OWNOCC","2000-Q2"
320,"MW","URE","2000-Q2"
2100,"MW","YRVAC","2000-Q2"
222,"MW","SALE","2000-Q2"
534,"MW","OTH","2000-Q2"
24137,"MW","OCC","2000-Q2"
26991,"MW","TOTAL","2000-Q2"
1052,"MW","OFFMAR","2000-Q2"
2855,"MW","VACANT","2000-Q2"
616,"MW","RENT","2000-Q2"
210,"MW","RNTSLD","2000-Q2"
754,"MW","SEASON","2000-Q2"
197,"MW","OCCUSE","2000-Q2"
7180,"NE","RNTOCC","2000-Q2"
1716,"NE","YRVAC","2000-Q2"
151,"NE","SALE","2000-Q2"
459,"NE","OTH","2000-Q2"
19619,"NE","OCC","2000-Q2"
22194,"NE","TOTAL","2000-Q2"
960,"NE","OFFMAR","2000-Q2"
2574,"NE","VACANT","2000-Q2"
449,"NE","RENT","2000-Q2"
155,"NE","RNTSLD","2000-Q2"
858,"NE","SEASON","2000-Q2"
12439,"NE","OWNOCC","2000-Q2"
331,"NE","OCCUSE","2000-Q2"
170,"NE","URE","2000-Q2"
25291,"SO","OWNOCC","2000-Q2"
472,"SO","URE","2000-Q2"
4724,"SO","YRVAC","2000-Q2"
11270,"SO","RNTOCC","2000-Q2"
463,"SO","SALE","2000-Q2"
1088,"SO","OTH","2000-Q2"
36561,"SO","OCC","2000-Q2"
42448,"SO","TOTAL","2000-Q2"
2559,"SO","OFFMAR","2000-Q2"
5887,"SO","VACANT","2000-Q2"
1348,"SO","RENT","2000-Q2"
355,"SO","RNTSLD","2000-Q2"
1162,"SO","SEASON","2000-Q2"
999,"SO","OCCUSE","2000-Q2"
1031,"US","SALE","2000-Q2"
2408,"US","OTH","2000-Q2"
102274,"US","OCC","2000-Q2"
116047,"US","TOTAL","2000-Q2"
5491,"US","OFFMAR","2000-Q2"
13773,"US","VACANT","2000-Q2"
2951,"US","RENT","2000-Q2"
869,"US","RNTSLD","2000-Q2"
3432,"US","SEASON","2000-Q2"
68752,"US","OWNOCC","2000-Q2"
1946,"US","OCCUSE","2000-Q2"
1137,"US","URE","2000-Q2"
33522,"US","RNTOCC","2000-Q2"
10341,"US","YRVAC","2000-Q2"
657,"WE","SEASON","2000-Q2"
418,"WE","OCCUSE","2000-Q2"
175,"WE","URE","2000-Q2"
13594,"WE","OWNOCC","2000-Q2"
8363,"WE","RNTOCC","2000-Q2"
1800,"WE","YRVAC","2000-Q2"
195,"WE","SALE","2000-Q2"
326,"WE","OTH","2000-Q2"
21957,"WE","OCC","2000-Q2"
24414,"WE","TOTAL","2000-Q2"
919,"WE","OFFMAR","2000-Q2"
2457,"WE","VACANT","2000-Q2"
537,"WE","RENT","2000-Q2"
149,"WE","RNTSLD","2000-Q2"
531,"MW","OTH","2000-Q3"
2101,"MW","YRVAC","2000-Q3"
6579,"MW","RNTOCC","2000-Q3"
238,"MW","SALE","2000-Q3"
24260,"MW","OCC","2000-Q3"
27070,"MW","TOTAL","2000-Q3"
886,"MW","OFFMAR","2000-Q3"
2810,"MW","VACANT","2000-Q3"
716,"MW","RENT","2000-Q3"
261,"MW","RNTSLD","2000-Q3"
709,"MW","SEASON","2000-Q3"
