RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
102001,United States,0,1338,1349,1350,1357,1370,1381,1391,1396,1398,1398,1398,1398,1402,1410,1418,1430,1439,1449,1454,1459,1460,1461,1462,1462,1468,1475,1484,1492,1501,1508,1510,1514,1513,1512,1512,1511,1515,1522,1530,1539,1549,1555,1561,1563,1563,1562,1561,1562,1567,1573,1581,1590,1599,1608,1614,1618,1619,1619,1620,1621,1625,1632,1640,1650,1661,1669,1675,1677,1678,1676,1675,1678,1683,1691,1696,1689,1685,1687,1687,1683,1682,1682,1688,1693,1697,1702,1718,1744,1775,1808,1843
394913,"New York, NY",1,2277,2305,2312,2318,2351,2368,2386,2394,2397,2395,2399,2392,2402,2415,2431,2461,2472,2484,2491,2500,2507,2509,2502,2500,2502,2510,2513,2531,2543,2556,2544,2554,2559,2554,2552,2543,2541,2546,2557,2573,2590,2596,2604,2601,2609,2598,2580,2581,2576,2577,2586,2600,2614,2628,2641,2646,2646,2638,2630,2627,2627,2636,2652,2661,2688,2707,2713,2714,2707,2699,2686,2674,2683,2704,2707,2693,2677,2659,2626,2564,2508,2469,2451,2446,2450,2455,2476,2514,2560,2610,2671
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1768,1796,1785,1792,1815,1833,1851,1866,1875,1880,1880,1884,1898,1907,1923,1936,1946,1958,1973,1985,1994,2002,2011,2015,2026,2044,2056,2064,2081,2094,2099,2110,2116,2122,2124,2129,2141,2153,2164,2179,2194,2201,2215,2222,2226,2228,2233,2232,2243,2252,2260,2272,2281,2294,2303,2314,2320,2325,2333,2337,2341,2346,2354,2364,2373,2384,2395,2402,2406,2406,2411,2419,2424,2428,2427,2406,2393,2392,2389,2383,2388,2397,2401,2398,2395,2402,2415,2439,2469,2511,2553
394463,"Chicago, IL",3,1434,1447,1448,1453,1468,1482,1491,1494,1488,1484,1482,1481,1484,1488,1478,1488,1508,1526,1536,1543,1538,1530,1521,1522,1530,1539,1548,1561,1573,1582,1588,1588,1580,1568,1560,1555,1556,1571,1583,1596,1609,1615,1618,1615,1607,1599,1592,1593,1595,1603,1615,1625,1636,1646,1648,1647,1639,1628,1626,1623,1631,1639,1652,1666,1677,1686,1692,1691,1687,1679,1670,1669,1678,1688,1696,1694,1692,1691,1687,1676,1659,1642,1632,1630,1634,1634,1654,1679,1704,1728,1746
394514,"Dallas-Fort Worth, TX",4,1126,1154,1159,1175,1169,1172,1177,1179,1184,1181,1178,1181,1185,1190,1203,1212,1222,1229,1235,1240,1236,1235,1234,1236,1241,1246,1261,1271,1281,1290,1297,1298,1299,1300,1301,1301,1304,1310,1319,1325,1337,1345,1349,1353,1352,1355,1351,1352,1356,1362,1366,1374,1378,1387,1393,1397,1394,1398,1402,1399,1402,1412,1415,1425,1435,1442,1448,1448,1451,1450,1448,1445,1449,1456,1462,1456,1453,1457,1461,1462,1467,1474,1475,1479,1485,1493,1506,1533,1564,1603,1642
394974,"Philadelphia, PA",5,1374,1370,1370,1368,1375,1385,1389,1394,1397,1392,1388,1376,1380,1382,1395,1406,1418,1425,1427,1427,1426,1421,1423,1422,1427,1433,1442,1451,1459,1465,1471,1465,1463,1460,1462,1460,1462,1467,1477,1485,1491,1492,1496,1497,1493,1494,1499,1500,1496,1502,1512,1522,1532,1536,1537,1539,1541,1542,1541,1545,1551,1557,1565,1571,1579,1587,1591,1591,1591,1594,1593,1592,1595,1608,1612,1605,1609,1610,1611,1613,1614,1617,1619,1626,1627,1626,1638,1655,1674,1693,1710
394692,"Houston, TX",6,1181,1210,1199,1206,1231,1245,1259,1267,1267,1271,1267,1265,1269,1272,1278,1290,1297,1304,1309,1311,1307,1303,1303,1302,1301,1308,1315,1314,1314,1317,1315,1311,1308,1305,1298,1295,1293,1296,1303,1306,1313,1315,1315,1315,1320,1330,1337,1342,1343,1347,1351,1356,1360,1365,1369,1367,1367,1363,1367,1362,1362,1364,1370,1376,1383,1390,1393,1391,1389,1387,1385,1388,1391,1394,1400,1391,1384,1382,1382,1381,1386,1390,1392,1393,1393,1390,1400,1415,1443,1476,1504
395209,"Washington, DC",7,1792,1834,1820,1820,1833,1847,1857,1862,1864,1853,1844,1832,1838,1846,1847,1862,1867,1877,1881,1879,1875,1878,1873,1874,1876,1882,1891,1899,1908,1918,1900,1910,1908,1905,1899,1898,1905,1911,1917,1933,1943,1949,1950,1951,1948,1939,1928,1926,1929,1935,1941,1957,1969,1981,1990,1993,1987,1983,1982,1981,1988,1998,2005,2019,2031,2042,2048,2049,2050,2042,2036,2035,2041,2047,2056,2049,2038,2035,2029,2018,2003,1988,1978,1968,1969,1970,1980,2004,2036,2073,2107
394856,"Miami-Fort Lauderdale, FL",8,1556,1565,1566,1566,1579,1586,1603,1609,1622,1629,1637,1641,1645,1657,1659,1663,1674,1687,1690,1702,1713,1724,1734,1739,1742,1749,1755,1752,1756,1757,1758,1764,1767,1768,1774,1772,1778,1781,1784,1784,1785,1790,1796,1802,1809,1817,1817,1819,1824,1825,1828,1829,1834,1840,1846,1854,1861,1868,1874,1876,1875,1877,1881,1884,1885,1888,1893,1898,1903,1915,1923,1932,1933,1938,1935,1928,1916,1918,1920,1925,1935,1953,1968,1981,1987,2004,2032,2071,2120,2180,2249
394347,"Atlanta, GA",9,1087,1099,1099,1108,1114,1121,1127,1131,1129,1130,1132,1134,1137,1143,1150,1160,1172,1183,1190,1191,1189,1190,1190,1193,1198,1206,1220,1228,1239,1249,1257,1260,1264,1268,1267,1266,1269,1276,1285,1294,1306,1316,1328,1333,1337,1335,1335,1336,1342,1349,1360,1368,1382,1390,1399,1405,1410,1415,1418,1422,1432,1436,1446,1456,1465,1475,1481,1485,1490,1489,1486,1487,1493,1501,1509,1504,1503,1509,1519,1532,1543,1556,1561,1572,1587,1606,1630,1660,1692,1736,1787
394404,"Boston, MA",10,2072,2089,2091,2085,2101,2120,2135,2144,2138,2130,2113,2098,2110,2134,2156,2170,2191,2208,2211,2207,2201,2194,2182,2183,2210,2235,2251,2266,2286,2298,2298,2302,2291,2278,2260,2267,2297,2318,2328,2347,2359,2369,2376,2371,2360,2336,2335,2339,2363,2377,2394,2411,2425,2439,2442,2435,2416,2412,2409,2420,2440,2451,2468,2488,2506,2523,2521,2517,2503,2491,2486,2496,2515,2533,2544,2534,2524,2514,2490,2436,2397,2365,2353,2362,2388,2406,2426,2457,2491,2529,2557
395057,"San Francisco, CA",11,2218,2141,2203,2229,2292,2363,2390,2436,2481,2505,2511,2522,2547,2572,2606,2628,2672,2714,2731,2762,2778,2786,2787,2794,2802,2815,2826,2844,2862,2887,2880,2895,2881,2865,2857,2840,2843,2860,2873,2891,2918,2941,2957,2963,2965,2956,2942,2943,2954,2956,2971,2986,3009,3026,3042,3055,3057,3052,3053,3052,3055,3068,3081,3093,3109,3133,3147,3149,3144,3131,3127,3129,3145,3159,3155,3137,3120,3093,3055,2993,2940,2894,2872,2852,2856,2866,2896,2928,2972,3032,3082
394532,"Detroit, MI",12,997,1002,1008,1011,1018,1023,1031,1033,1032,1032,1031,1030,1030,1034,1042,1044,1050,1057,1060,1064,1067,1056,1059,1060,1065,1068,1074,1079,1083,1091,1097,1107,1100,1100,1095,1092,1096,1100,1107,1116,1124,1133,1138,1143,1143,1140,1141,1140,1141,1147,1154,1156,1169,1174,1180,1183,1183,1182,1183,1183,1185,1185,1192,1200,1208,1215,1222,1225,1222,1221,1222,1222,1214,1219,1225,1227,1231,1240,1255,1254,1264,1281,1278,1294,1290,1303,1319,1333,1347,1366,1387
395025,"Riverside, CA",13,1430,1442,1439,1438,1445,1453,1466,1466,1471,1474,1478,1488,1491,1499,1504,1517,1520,1525,1530,1538,1548,1550,1558,1561,1565,1573,1578,1584,1592,1603,1608,1613,1627,1627,1633,1634,1647,1650,1663,1678,1690,1698,1707,1715,1720,1728,1734,1731,1738,1750,1762,1775,1779,1794,1805,1815,1825,1830,1831,1841,1843,1851,1854,1864,1870,1874,1893,1902,1903,1913,1919,1922,1927,1936,1936,1931,1927,1946,1967,1996,2035,2065,2081,2100,2139,2142,2182,2215,2249,2301,2358
394976,"Phoenix, AZ",14,961,978,971,971,979,985,987,991,994,995,998,999,1002,1020,1025,1035,1042,1047,1047,1051,1056,1057,1061,1063,1071,1075,1083,1093,1100,1107,1110,1111,1113,1115,1117,1119,1123,1131,1141,1148,1157,1163,1169,1172,1177,1179,1179,1180,1188,1193,1207,1221,1230,1238,1246,1254,1259,1265,1271,1277,1280,1291,1302,1316,1328,1339,1347,1356,1357,1363,1370,1383,1390,1403,1405,1399,1400,1407,1418,1435,1454,1469,1487,1495,1510,1524,1553,1588,1638,1692,1746
