RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
102001,0,United States,Country,"",1534976.0,1373507.0,1380161.0,1407166.0,1545312.0,1642097.0,1713239.0,1767043.0,1796352.0,1787536.0,1734035.0,1735215.0,1616812.0,1443167.0,1470995.0,1471332.0,1583308.0,1670821.0,1748952.0,1798899.0,1805224.0,1780884.0,1741963.0,1714477.0,1559131.0,1392061.0,1402463.0,1408279.0,1468816.0,1364680.0,1472658.0,1465528.0,1437096.0,1381410.0,1327391.0,1312714.0,1145193.0,997704.0,1028013.0,902238.0,959499.0,972536.0,1008933.0,1051409.0,1107924.0
394913,1,"New York, NY",Msa,NY,75038.0,66096.0,65872.0,73757.0,79690.0,86716.0,91845.0,93326.0,93033.0,90299.0,89533.0,90531.0,83413.0,73743.0,74724.0,76667.0,84748.0,92203.0,97178.0,98684.0,96880.0,92588.0,93307.0,90774.0,81975.0,72121.0,71398.0,74561.0,78713.0,64382.0,69290.0,77539.0,82779.0,81034.0,81624.0,79908.0,70831.0,61618.0,59822.0,57779.0,59259.0,61688.0,64306.0,66652.0,66266.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,22301.0,18216.0,19762.0,21821.0,24101.0,25528.0,27723.0,28881.0,30626.0,30908.0,30488.0,31281.0,29336.0,25190.0,26390.0,26866.0,29116.0,30249.0,31902.0,31858.0,32323.0,31424.0,30238.0,29398.0,25296.0,20595.0,21082.0,22140.0,22224.0,20131.0,23401.0,25202.0,26266.0,26322.0,26350.0,26215.0,23111.0,19383.0,19432.0,19343.0,20825.0,20446.0,20713.0,21168.0,22212.0
394463,3,"Chicago, IL",Msa,IL,47815.0,40441.0,40195.0,42790.0,51338.0,53878.0,56429.0,58471.0,59569.0,59349.0,57935.0,57322.0,51165.0,43597.0,43313.0,45855.0,52630.0,58242.0,60551.0,62144.0,62313.0,61997.0,61167.0,59196.0,52293.0,44847.0,44934.0,48174.0,50335.0,44629.0,49276.0,51908.0,52162.0,51180.0,49239.0,48377.0,41576.0,34711.0,34560.0,30538.0,33468.0,35531.0,37882.0,39886.0,41662.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,26692.0,23288.0,22853.0,23457.0,26714.0,30075.0,31832.0,33966.0,35953.0,35344.0,34123.0,33363.0,31637.0,28230.0,28957.0,29613.0,32872.0,34824.0,36911.0,40108.0,41013.0,40073.0,38390.0,37609.0,34831.0,31170.0,30985.0,32125.0,33234.0,31374.0,35055.0,34964.0,34035.0,31516.0,28733.0,30310.0,26407.0,22608.0,23007.0,19793.0,21370.0,22277.0,22807.0,23538.0,25367.0
394974,5,"Philadelphia, PA",Msa,PA,29933.0,25067.0,24471.0,25612.0,28146.0,31309.0,32526.0,31639.0,30478.0,29991.0,29434.0,30105.0,28390.0,24895.0,25104.0,25102.0,28045.0,30406.0,31068.0,31377.0,31922.0,29506.0,29107.0,28981.0,25836.0,22515.0,22170.0,22488.0,22744.0,18630.0,21475.0,23209.0,22774.0,21874.0,21143.0,21207.0,18627.0,15844.0,15989.0,14560.0,16693.0,17863.0,19087.0,19805.0,20572.0
394692,6,"Houston, TX",Msa,TX,34697.0,31814.0,32406.0,32176.0,36660.0,38583.0,40652.0,41692.0,42510.0,41964.0,39494.0,39423.0,37322.0,34551.0,36385.0,36388.0,39286.0,41095.0,42655.0,45911.0,46598.0,45762.0,43388.0,42604.0,40155.0,37601.0,38761.0,39585.0,40876.0,39087.0,41646.0,40265.0,39098.0,36567.0,34425.0,34461.0,30487.0,27903.0,29644.0,25953.0,27303.0,26260.0,26218.0,27216.0,28869.0
395209,7,"Washington, DC",Msa,DC,25428.0,21498.0,20246.0,21572.0,26237.0,30359.0,30460.0,26781.0,26612.0,25896.0,25616.0,26115.0,23246.0,18653.0,17755.0,18243.0,22124.0,24881.0,26646.0,26616.0,25743.0,24110.0,24507.0,24294.0,20872.0,16815.0,17180.0,17944.0,20430.0,18652.0,19907.0,19446.0,19700.0,18912.0,19276.0,19676.0,16756.0,13689.0,13969.0,13118.0,16185.0,18231.0,19524.0,20064.0,21312.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,59652.0,59117.0,63577.0,64493.0,68338.0,67427.0,65899.0,63728.0,63198.0,62564.0,62048.0,64734.0,64573.0,63503.0,69155.0,70450.0,72104.0,70700.0,69294.0,67329.0,66060.0,64070.0,62643.0,64358.0,63029.0,61524.0,65150.0,65311.0,64571.0,58883.0,61588.0,62418.0,60681.0,59106.0,59067.0,59513.0,56133.0,54382.0,54292.0,45431.0,42431.0,38687.0,37023.0,35372.0,34221.0
394347,9,"Atlanta, GA",Msa,GA,32128.0,28233.0,28902.0,28769.0,31580.0,33054.0,33622.0,36099.0,37531.0,36842.0,35474.0,36090.0,33555.0,30631.0,32203.0,35825.0,35718.0,37235.0,38766.0,40732.0,41406.0,41162.0,40528.0,40589.0,37258.0,34342.0,35576.0,35318.0,37312.0,36515.0,39193.0,37829.0,36306.0,34516.0,31892.0,32046.0,28122.0,24709.0,25701.0,22186.0,22892.0,22200.0,22069.0,23005.0,23874.0
