RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
102001,0,United States,Country,"",274500.0,269900.0,269900.0,277957.0,289000.0,297990.0,299900.0,299900.0,299500.0,298900.0,297000.0,295000.0,290000.0,289500.0,289880.0,297000.0,304900.0,315000.0,321900.0,323900.0,319900.0,315000.0,310000.0,307900.0,299950.0,299000.0,299000.0,300000.0,315000.0,319000.0,329000.0,339000.0,339990.0,340000.0,340000.0,339900.0,335000.0,329000.0,325000.0,335000.0,349999.0,369000.0,378263.0,380000.0,379000.0
394913,1,"New York, NY",Msa,NY,500000.0,499900.0,499999.0,525000.0,539000.0,549000.0,549999.0,550000.0,549888.0,549000.0,549000.0,549000.0,540000.0,535000.0,529999.0,545000.0,550000.0,565000.0,570000.0,572500.0,568200.0,560000.0,569000.0,569000.0,567500.0,569000.0,565800.0,575000.0,595000.0,590000.0,599000.0,599999.0,625000.0,639000.0,644900.0,649000.0,649000.0,650000.0,659000.0,669990.0,679000.0,679000.0,675000.0,659000.0,649500.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,849900.0,850000.0,857500.0,875000.0,899000.0,919000.0,915000.0,899000.0,879990.0,849900.0,839000.0,829000.0,819000.0,799900.0,799000.0,824000.0,850000.0,889000.0,899998.0,925000.0,925000.0,924900.0,915000.0,925000.0,925950.0,935000.0,939500.0,975000.0,995000.0,935000.0,950000.0,999998.0,1098800.0,1125000.0,1099000.0,1100000.0,1145990.0,1174999.0,1169000.0,1181549.0,1188000.0,1163350.0,1149000.0,1100000.0,1025000.0
394463,3,"Chicago, IL",Msa,IL,315000.0,300000.0,304900.0,329000.0,349900.0,359900.0,360000.0,357000.0,349900.0,339900.0,335000.0,329000.0,320000.0,310000.0,311900.0,329900.0,349000.0,358900.0,359900.0,355000.0,349900.0,339900.0,335000.0,329000.0,320000.0,314999.0,315000.0,330000.0,347500.0,345000.0,349900.0,360000.0,369900.0,374900.0,374900.0,365000.0,355000.0,349900.0,339900.0,349500.0,350000.0,355000.0,360950.0,359000.0,350000.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,340136.0,344900.0,346900.0,354000.0,360398.0,369900.0,369900.0,359900.0,349999.0,345000.0,340000.0,340000.0,339900.0,335400.0,334900.0,340000.0,349990.0,359000.0,361000.0,358055.0,349900.0,345950.0,344900.0,344900.0,342000.0,339000.0,334900.0,339500.0,344000.0,340000.0,349990.0,359900.0,364000.0,364900.0,365000.0,360000.0,359000.0,358000.0,356983.0,363135.0,371990.0,384990.0,395000.0,398750.0,399900.0
394974,5,"Philadelphia, PA",Msa,PA,259900.0,250000.0,249000.0,250000.0,264900.0,270000.0,279900.0,285000.0,280000.0,275000.0,274900.0,274900.0,269000.0,259000.0,250000.0,255000.0,269500.0,279500.0,289900.0,295000.0,295000.0,292990.0,295000.0,295000.0,290000.0,285000.0,280000.0,289900.0,295000.0,299000.0,310900.0,325000.0,335000.0,339000.0,334900.0,339990.0,329990.0,320000.0,315000.0,319000.0,322990.0,330000.0,334900.0,337400.0,325000.0
394692,6,"Houston, TX",Msa,TX,325000.0,325000.0,325000.0,330990.0,339000.0,340472.0,345000.0,340000.0,334000.0,328500.0,324999.0,320000.0,319000.0,318000.0,317875.0,320000.0,329000.0,335000.0,335900.0,330000.0,325000.0,320000.0,319482.0,319900.0,315000.0,310000.0,310000.0,315000.0,320000.0,320000.0,329900.0,338500.0,340000.0,346462.0,350000.0,345000.0,345000.0,340000.0,339900.0,345000.0,356490.0,369000.0,379495.0,385000.0,382990.0
395209,7,"Washington, DC",Msa,DC,450000.0,439000.0,439000.0,449900.0,469900.0,470000.0,489000.0,499990.0,497000.0,479000.0,474899.0,469900.0,459900.0,449900.0,449900.0,465000.0,489900.0,499900.0,499999.0,499900.0,490500.0,485000.0,489900.0,490000.0,489000.0,479900.0,484000.0,499990.0,525000.0,519990.0,535000.0,559900.0,559900.0,559500.0,549999.0,545500.0,529900.0,522490.0,509990.0,515000.0,520000.0,535000.0,535000.0,539900.0,534900.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,460000.0,463500.0,459999.0,465000.0,474900.0,479900.0,479800.0,478000.0,470000.0,460000.0,450000.0,449000.0,445000.0,445000.0,442900.0,444900.0,449900.0,451500.0,459999.0,460000.0,464900.0,460000.0,459000.0,458500.0,458999.0,459000.0,459000.0,460000.0,469000.0,450000.0,459000.0,475000.0,495000.0,505000.0,520000.0,525000.0,515990.0,515000.0,525000.0,540000.0,550000.0,575000.0,588000.0,575000.0,569900.0
394347,9,"Atlanta, GA",Msa,GA,310000.0,311700.0,316900.0,325000.0,339900.0,350000.0,355000.0,350000.0,339900.0,334500.0,329800.0,325000.0,321000.0,319000.0,315000.0,319900.0,330000.0,344990.0,350000.0,349900.0,344900.0,339900.0,335000.0,330000.0,329900.0,327125.0,325000.0,329350.0,335900.0,330000.0,340000.0,350000.0,360000.0,367000.0,369900.0,366554.0,365000.0,361902.0,360000.0,369900.0,385900.0,410000.0,416755.0,420000.0,419000.0
