"cell_value","category_code","geo_level_code","data_type_code","time","Quarter"
105,"ASOLD","MW","TOTAL","1990-01","1990-Q1"
42,"FORSALE","MW","TOTAL","1990-01","1990-Q1"
6,"SOLD","MW","TOTAL","1990-01","1990-Q1"
97,"ASOLD","NE","TOTAL","1990-01","1990-Q1"
106,"FORSALE","NE","TOTAL","1990-01","1990-Q1"
7,"SOLD","NE","TOTAL","1990-01","1990-Q1"
223,"ASOLD","SO","TOTAL","1990-01","1990-Q1"
124,"FORSALE","SO","TOTAL","1990-01","1990-Q1"
17,"SOLD","SO","TOTAL","1990-01","1990-Q1"
620,"ASOLD","US","TOTAL","1990-01","1990-Q1"
66,"FORSALE","US","NOTSTD","1990-01","1990-Q1"
5.6,"FORSALE","US","MMTHS","1990-01","1990-Q1"
8.1,"FORSALE","US","MONSUP","1990-01","1990-Q1"
110,"FORSALE","US","COMPED","1990-01","1990-Q1"
189,"FORSALE","US","UNDERC","1990-01","1990-Q1"
365,"FORSALE","US","TOTAL","1990-01","1990-Q1"
7,"FORSALE","US","MONSUP","1990-01","1990-Q1"
365,"FORSALE","US","TOTAL","1990-01","1990-Q1"
17,"SOLD","US","UNDERC","1990-01","1990-Q1"
151700,"SOLD","US","AVERAG","1990-01","1990-Q1"
16,"SOLD","US","COMPED","1990-01","1990-Q1"
125000,"SOLD","US","MEDIAN","1990-01","1990-Q1"
45,"SOLD","US","TOTAL","1990-01","1990-Q1"
12,"SOLD","US","NOTSTD","1990-01","1990-Q1"
194,"ASOLD","WE","TOTAL","1990-01","1990-Q1"
93,"FORSALE","WE","TOTAL","1990-01","1990-Q1"
15,"SOLD","WE","TOTAL","1990-01","1990-Q1"
73,"ASOLD","MW","TOTAL","1990-02","1990-Q1"
42,"FORSALE","MW","TOTAL","1990-02","1990-Q1"
6,"SOLD","MW","TOTAL","1990-02","1990-Q1"
69,"ASOLD","NE","TOTAL","1990-02","1990-Q1"
104,"FORSALE","NE","TOTAL","1990-02","1990-Q1"
4,"SOLD","NE","TOTAL","1990-02","1990-Q1"
266,"ASOLD","SO","TOTAL","1990-02","1990-Q1"
122,"FORSALE","SO","TOTAL","1990-02","1990-Q1"
23,"SOLD","SO","TOTAL","1990-02","1990-Q1"
591,"ASOLD","US","TOTAL","1990-02","1990-Q1"
7.2,"FORSALE","US","MONSUP","1990-02","1990-Q1"
111,"FORSALE","US","COMPED","1990-02","1990-Q1"
184,"FORSALE","US","UNDERC","1990-02","1990-Q1"
359,"FORSALE","US","TOTAL","1990-02","1990-Q1"
64,"FORSALE","US","NOTSTD","1990-02","1990-Q1"
5.9,"FORSALE","US","MMTHS","1990-02","1990-Q1"
7.6,"FORSALE","US","MONSUP","1990-02","1990-Q1"
365,"FORSALE","US","TOTAL","1990-02","1990-Q1"
20,"SOLD","US","UNDERC","1990-02","1990-Q1"
150900,"SOLD","US","AVERAG","1990-02","1990-Q1"
15,"SOLD","US","COMPED","1990-02","1990-Q1"
126900,"SOLD","US","MEDIAN","1990-02","1990-Q1"
50,"SOLD","US","TOTAL","1990-02","1990-Q1"
15,"SOLD","US","NOTSTD","1990-02","1990-Q1"
183,"ASOLD","WE","TOTAL","1990-02","1990-Q1"
91,"FORSALE","WE","TOTAL","1990-02","1990-Q1"
16,"SOLD","WE","TOTAL","1990-02","1990-Q1"
92,"ASOLD","MW","TOTAL","1990-03","1990-Q1"
43,"FORSALE","MW","TOTAL","1990-03","1990-Q1"
10,"SOLD","MW","TOTAL","1990-03","1990-Q1"
91,"ASOLD","NE","TOTAL","1990-03","1990-Q1"
100,"FORSALE","NE","TOTAL","1990-03","1990-Q1"
9,"SOLD","NE","TOTAL","1990-03","1990-Q1"
228,"ASOLD","SO","TOTAL","1990-03","1990-Q1"
122,"FORSALE","SO","TOTAL","1990-03","1990-Q1"
23,"SOLD","SO","TOTAL","1990-03","1990-Q1"
574,"ASOLD","US","TOTAL","1990-03","1990-Q1"
6.2,"FORSALE","US","MONSUP","1990-03","1990-Q1"
109,"FORSALE","US","COMPED","1990-03","1990-Q1"
182,"FORSALE","US","UNDERC","1990-03","1990-Q1"
358,"FORSALE","US","TOTAL","1990-03","1990-Q1"
67,"FORSALE","US","NOTSTD","1990-03","1990-Q1"
5.9,"FORSALE","US","MMTHS","1990-03","1990-Q1"
7.8,"FORSALE","US","MONSUP","1990-03","1990-Q1"
362,"FORSALE","US","TOTAL","1990-03","1990-Q1"
144600,"SOLD","US","AVERAG","1990-03","1990-Q1"
18,"SOLD","US","COMPED","1990-03","1990-Q1"
119400,"SOLD","US","MEDIAN","1990-03","1990-Q1"
58,"SOLD","US","TOTAL","1990-03","1990-Q1"
18,"SOLD","US","NOTSTD","1990-03","1990-Q1"
22,"SOLD","US","UNDERC","1990-03","1990-Q1"
163,"ASOLD","WE","TOTAL","1990-03","1990-Q1"
95,"FORSALE","WE","TOTAL","1990-03","1990-Q1"
16,"SOLD","WE","TOTAL","1990-03","1990-Q1"
91,"ASOLD","MW","TOTAL","1990-04","1990-Q2"
45,"FORSALE","MW","TOTAL","1990-04","1990-Q2"
10,"SOLD","MW","TOTAL","1990-04","1990-Q2"
88,"ASOLD","NE","TOTAL","1990-04","1990-Q2"
98,"FORSALE","NE","TOTAL","1990-04","1990-Q2"
8,"SOLD","NE","TOTAL","1990-04","1990-Q2"
215,"ASOLD","SO","TOTAL","1990-04","1990-Q2"
122,"FORSALE","SO","TOTAL","1990-04","1990-Q2"
20,"SOLD","SO","TOTAL","1990-04","1990-Q2"
542,"ASOLD","US","TOTAL","1990-04","1990-Q2"
6.9,"FORSALE","US","MONSUP","1990-04","1990-Q2"
106,"FORSALE","US","COMPED","1990-04","1990-Q2"
360,"FORSALE","US","TOTAL","1990-04","1990-Q2"
186,"FORSALE","US","UNDERC","1990-04","1990-Q2"
67,"FORSALE","US","NOTSTD","1990-04","1990-Q2"
6.3,"FORSALE","US","MMTHS","1990-04","1990-Q2"
8.3,"FORSALE","US","MONSUP","1990-04","1990-Q2"
362,"FORSALE","US","TOTAL","1990-04","1990-Q2"
153400,"SOLD","US","AVERAG","1990-04","1990-Q2"
17,"SOLD","US","COMPED","1990-04","1990-Q2"
130000,"SOLD","US","MEDIAN","1990-04","1990-Q2"
52,"SOLD","US","TOTAL","1990-04","1990-Q2"
16,"SOLD","US","NOTSTD","1990-04","1990-Q2"
20,"SOLD","US","UNDERC","1990-04","1990-Q2"
148,"ASOLD","WE","TOTAL","1990-04","1990-Q2"
95,"FORSALE","WE","TOTAL","1990-04","1990-Q2"
14,"SOLD","WE","TOTAL","1990-04","1990-Q2"
9,"SOLD","MW","TOTAL","1990-05","1990-Q2"
74,"ASOLD","NE","TOTAL","1990-05","1990-Q2"
7,"SOLD","NE","TOTAL","1990-05","1990-Q2"
89,"ASOLD","MW","TOTAL","1990-05","1990-Q2"
45,"FORSALE","MW","TOTAL","1990-05","1990-Q2"
96,"FORSALE","NE","TOTAL","1990-05","1990-Q2"
213,"ASOLD","SO","TOTAL","1990-05","1990-Q2"
122,"FORSALE","SO","TOTAL","1990-05","1990-Q2"
20,"SOLD","SO","TOTAL","1990-05","1990-Q2"
534,"ASOLD","US","TOTAL","1990-05","1990-Q2"
7.2,"FORSALE","US","MONSUP","1990-05","1990-Q2"
108,"FORSALE","US","COMPED","1990-05","1990-Q2"
359,"FORSALE","US","TOTAL","1990-05","1990-Q2"
185,"FORSALE","US","UNDERC","1990-05","1990-Q2"
67,"FORSALE","US","NOTSTD","1990-05","1990-Q2"
6.2,"FORSALE","US","MMTHS","1990-05","1990-Q2"
8.2,"FORSALE","US","MONSUP","1990-05","1990-Q2"
358,"FORSALE","US","TOTAL","1990-05","1990-Q2"
150600,"SOLD","US","AVERAG","1990-05","1990-Q2"
17,"SOLD","US","COMPED","1990-05","1990-Q2"
125000,"SOLD","US","MEDIAN","1990-05","1990-Q2"
50,"SOLD","US","TOTAL","1990-05","1990-Q2"
14,"SOLD","US","NOTSTD","1990-05","1990-Q2"
19,"SOLD","US","UNDERC","1990-05","1990-Q2"
158,"ASOLD","WE","TOTAL","1990-05","1990-Q2"
96,"FORSALE","WE","TOTAL","1990-05","1990-Q2"
14,"SOLD","WE","TOTAL","1990-05","1990-Q2"
99,"ASOLD","MW","TOTAL","1990-06","1990-Q2"
45,"FORSALE","MW","TOTAL","1990-06","1990-Q2"
9,"SOLD","MW","TOTAL","1990-06","1990-Q2"
75,"ASOLD","NE","TOTAL","1990-06","1990-Q2"
93,"FORSALE","NE","TOTAL","1990-06","1990-Q2"
7,"SOLD","NE","TOTAL","1990-06","1990-Q2"
228,"ASOLD","SO","TOTAL","1990-06","1990-Q2"
119,"FORSALE","SO","TOTAL","1990-06","1990-Q2"
21,"SOLD","SO","TOTAL","1990-06","1990-Q2"
545,"ASOLD","US","TOTAL","1990-06","1990-Q2"
109,"FORSALE","US","COMPED","1990-06","1990-Q2"
355,"FORSALE","US","TOTAL","1990-06","1990-Q2"
179,"FORSALE","US","UNDERC","1990-06","1990-Q2"
67,"FORSALE","US","NOTSTD","1990-06","1990-Q2"
5.9,"FORSALE","US","MMTHS","1990-06","1990-Q2"
7.2,"FORSALE","US","MONSUP","1990-06","1990-Q2"
7.9,"FORSALE","US","MONSUP","1990-06","1990-Q2"
353,"FORSALE","US","TOTAL","1990-06","1990-Q2"
18,"SOLD","US","COMPED","1990-06","1990-Q2"
125000,"SOLD","US","MEDIAN","1990-06","1990-Q2"
50,"SOLD","US","TOTAL","1990-06","1990-Q2"
13,"SOLD","US","NOTSTD","1990-06","1990-Q2"
19,"SOLD","US","UNDERC","1990-06","1990-Q2"
150400,"SOLD","US","AVERAG","1990-06","1990-Q2"
143,"ASOLD","WE","TOTAL","1990-06","1990-Q2"
98,"FORSALE","WE","TOTAL","1990-06","1990-Q2"
13,"SOLD","WE","TOTAL","1990-06","1990-Q2"
97,"ASOLD","MW","TOTAL","1990-07","1990-Q3"
45,"FORSALE","MW","TOTAL","1990-07","1990-Q3"
8,"SOLD","MW","TOTAL","1990-07","1990-Q3"
71,"ASOLD","NE","TOTAL","1990-07","1990-Q3"
91,"FORSALE","NE","TOTAL","1990-07","1990-Q3"
6,"SOLD","NE","TOTAL","1990-07","1990-Q3"
236,"ASOLD","SO","TOTAL","1990-07","1990-Q3"
116,"FORSALE","SO","TOTAL","1990-07","1990-Q3"
20,"SOLD","SO","TOTAL","1990-07","1990-Q3"
542,"ASOLD","US","TOTAL","1990-07","1990-Q3"
111,"FORSALE","US","COMPED","1990-07","1990-Q3"
350,"FORSALE","US","TOTAL","1990-07","1990-Q3"
174,"FORSALE","US","UNDERC","1990-07","1990-Q3"
66,"FORSALE","US","NOTSTD","1990-07","1990-Q3"
5.8,"FORSALE","US","MMTHS","1990-07","1990-Q3"
7.6,"FORSALE","US","MONSUP","1990-07","1990-Q3"
7.8,"FORSALE","US","MONSUP","1990-07","1990-Q3"
350,"FORSALE","US","TOTAL","1990-07","1990-Q3"
118700,"SOLD","US","MEDIAN","1990-07","1990-Q3"
46,"SOLD","US","TOTAL","1990-07","1990-Q3"
12,"SOLD","US","NOTSTD","1990-07","1990-Q3"
18,"SOLD","US","UNDERC","1990-07","1990-Q3"
149800,"SOLD","US","AVERAG","1990-07","1990-Q3"
16,"SOLD","US","COMPED","1990-07","1990-Q3"
137,"ASOLD","WE","TOTAL","1990-07","1990-Q3"
99,"FORSALE","WE","TOTAL","1990-07","1990-Q3"
11,"SOLD","WE","TOTAL","1990-07","1990-Q3"
90,"ASOLD","MW","TOTAL","1990-08","1990-Q3"
44,"FORSALE","MW","TOTAL","1990-08","1990-Q3"
8,"SOLD","MW","TOTAL","1990-08","1990-Q3"
62,"ASOLD","NE","TOTAL","1990-08","1990-Q3"
91,"FORSALE","NE","TOTAL","1990-08","1990-Q3"
5,"SOLD","NE","TOTAL","1990-08","1990-Q3"
240,"ASOLD","SO","TOTAL","1990-08","1990-Q3"
112,"FORSALE","SO","TOTAL","1990-08","1990-Q3"
21,"SOLD","SO","TOTAL","1990-08","1990-Q3"
528,"ASOLD","US","TOTAL","1990-08","1990-Q3"
109,"FORSALE","US","COMPED","1990-08","1990-Q3"
346,"FORSALE","US","TOTAL","1990-08","1990-Q3"
170,"FORSALE","US","UNDERC","1990-08","1990-Q3"
66,"FORSALE","US","NOTSTD","1990-08","1990-Q3"
5.8,"FORSALE","US","MMTHS","1990-08","1990-Q3"
7.6,"FORSALE","US","MONSUP","1990-08","1990-Q3"
8.2,"FORSALE","US","MONSUP","1990-08","1990-Q3"
344,"FORSALE","US","TOTAL","1990-08","1990-Q3"
118400,"SOLD","US","MEDIAN","1990-08","1990-Q3"
46,"SOLD","US","TOTAL","1990-08","1990-Q3"
12,"SOLD","US","NOTSTD","1990-08","1990-Q3"
17,"SOLD","US","UNDERC","1990-08","1990-Q3"
144700,"SOLD","US","AVERAG","1990-08","1990-Q3"
17,"SOLD","US","COMPED","1990-08","1990-Q3"
137,"ASOLD","WE","TOTAL","1990-08","1990-Q3"
99,"FORSALE","WE","TOTAL","1990-08","1990-Q3"
12,"SOLD","WE","TOTAL","1990-08","1990-Q3"
42,"FORSALE","MW","TOTAL","1990-09","1990-Q3"
7,"SOLD","MW","TOTAL","1990-09","1990-Q3"
4,"SOLD","NE","TOTAL","1990-09","1990-Q3"
211,"ASOLD","SO","TOTAL","1990-09","1990-Q3"
111,"FORSALE","SO","TOTAL","1990-09","1990-Q3"
16,"SOLD","SO","TOTAL","1990-09","1990-Q3"
93,"ASOLD","MW","TOTAL","1990-09","1990-Q3"
57,"ASOLD","NE","TOTAL","1990-09","1990-Q3"
88,"FORSALE","NE","TOTAL","1990-09","1990-Q3"
