fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.119,other,12.8,,1.26,1.06,,,,2,2,2,4,2,4,4,409,3,,,,,,,,,,,,0,,2465,2261,2021-09-12,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.739,0.678,0,,3
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.032,other,40.6,,1.14,0.82,,,,3,1,3,4,2,4,4,842,0,,,,0,,,,0,,,,0,,3646,2983,2021-09-12,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.647,0.529,0,,3
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.104,other,74.2,,1.1,0.1,,,0.92,3,2,3,4,1,4,3,40089,220,,,,1149,514,61,0.66,50,46,12,0.71,215,,172594,144867,2021-09-12,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.599,0.503,0,,3
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.051,other,138.3,,1.08,0.32,,,,5,1,5,4,1,4,4,4623,23,,,,37,,,0.4,0,,,,0,,11014,10038,2021-09-12,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.599,0.546,0,,3
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,0.01,other,0.0,,1.0,1.17,,,,0,0,0,4,1,4,4,608,2,,,,,,,,,,,,0,,,,2021-09-12,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.06,other,109.0,,,,,,,5,1,5,4,4,4,4,189,0,,,,,,,,,,,,0,,1084,930,2021-09-12,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.517,0.443,0,,3
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.058,other,194.7,,1.04,0.62,,,,5,1,5,4,1,4,4,449,4,,,,18,,,0.15,0,,,,0,,2267,2017,2021-09-12,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.461,0.41,0,,3
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.138,other,97.6,,1.28,0.18,,,0.75,5,2,5,4,2,4,1,9960,51,,,,175,57,12,0.46,13,9,1,0.66,0,,49770,42727,2021-09-12,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.514,0.441,0,,3
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,0.104,other,56.5,,0.68,0.98,,,,3,2,3,4,0,4,4,142,0,,,,,,,,,,,,0,,1625,1569,2021-09-12,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.642,0.62,0,,3
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.042,other,0.0,,,,,,,0,1,0,4,4,4,4,0,0,,,,,,,,,,,,0,,1455,1369,2021-09-12,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.677,0.637,0,,0
02110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.067,other,61.2,,0.89,0.3,,,0.44,3,1,3,4,0,4,0,2513,3,,,,73,35,4,0.41,9,4,1,0.32,0,,22218,20335,2021-09-12,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.695,0.636,0,,3
02122,US,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.114,other,102.9,,1.0,0.19,,,0.79,5,2,5,4,1,4,1,7415,28,,,,77,68,27,0.56,11,8,7,0.69,0,,25643,23025,2021-09-12,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough,0.437,0.392,0,,3
02130,US,AK,Ketchikan Gateway Borough,county,,iso1:us#iso2:us-ak#fips:02130,,13901,0.075,other,112.0,,0.94,0.4,,,1.0,5,1,5,4,1,4,3,1256,2,,,,25,11,1,0.42,2,2,1,0.31,0,,8355,7721,2021-09-12,https://covidactnow.org/us/alaska-ak/county/ketchikan_gateway_borough,0.601,0.555,0,,3
02150,US,AK,Kodiak Island Borough,county,,iso1:us#iso2:us-ak#fips:02150,,12998,0.078,other,64.8,,0.78,0.53,,,,3,1,3,4,0,4,4,1659,6,,,,25,5,2,0.22,2,1,0,,0,,7766,7013,2021-09-12,https://covidactnow.org/us/alaska-ak/county/kodiak_island_borough,0.597,0.54,0,,3
02158,US,AK,Kusilvak Census Area,county,,iso1:us#iso2:us-ak#fips:02158,,8314,0.084,other,61.9,,0.86,0.68,,,,3,1,3,4,0,4,4,1652,5,,,,,,,,,,,,0,,4994,4655,2021-09-12,https://covidactnow.org/us/alaska-ak/county/kusilvak_census_area,0.601,0.56,0,,3
02164,US,AK,Lake and Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02164,,1592,0.147,other,0.0,,,,,,,0,2,0,4,4,4,4,0,0,,,,,,,,,,,,0,,901,790,2021-09-12,https://covidactnow.org/us/alaska-ak/county/lake_and_peninsula_borough,0.566,0.496,0,,3
02170,US,AK,Matanuska-Susitna Borough,county,,iso1:us#iso2:us-ak#fips:02170,,108317,0.162,other,106.0,,1.21,0.16,,,0.89,5,2,5,4,2,4,3,14708,66,,,,125,82,20,0.72,14,12,6,0.33,0,,37874,32936,2021-09-12,https://covidactnow.org/us/alaska-ak/county/matanuska_susitna_borough,0.35,0.304,0,,3
02180,US,AK,Nome Census Area,county,,iso1:us#iso2:us-ak#fips:02180,,10004,0.026,other,34.3,,0.47,0.51,,,,3,0,3,4,0,4,4,926,0,,,,36,,,,0,,,,0,,6247,5987,2021-09-12,https://covidactnow.org/us/alaska-ak/county/nome_census_area,0.624,0.598,0,,3
02185,US,AK,North Slope Borough,county,,iso1:us#iso2:us-ak#fips:02185,,9832,0.198,other,306.6,,1.28,0.35,,,,5,2,5,4,2,4,4,1624,4,,,,20,,,0.06,0,,,,0,,3417,3086,2021-09-12,https://covidactnow.org/us/alaska-ak/county/north_slope_borough,0.348,0.314,0,,3
02188,US,AK,Northwest Arctic Borough,county,,iso1:us#iso2:us-ak#fips:02188,,7621,0.017,other,65.6,,0.74,0.59,,,,3,0,3,4,0,4,4,918,3,,,,17,,,0.23,0,,,,0,,3982,3680,2021-09-12,https://covidactnow.org/us/alaska-ak/county/northwest_arctic_borough,0.523,0.483,0,,3
02195,US,AK,Petersburg Borough,county,,iso1:us#iso2:us-ak#fips:02195,,3266,0.016,other,0.0,,1.21,1.04,,,,0,0,0,4,2,4,4,207,1,,,,12,0,0,0.26,0,,,,0,,2232,2110,2021-09-12,https://covidactnow.org/us/alaska-ak/county/petersburg_borough,0.683,0.646,0,,0
02198,US,AK,Prince of Wales-Hyder Census Area,county,,iso1:us#iso2:us-ak#fips:02198,,6203,0.105,other,55.3,,,,,,,3,2,3,4,4,4,4,374,5,,,,,,,,,,,,0,,3247,2902,2021-09-12,https://covidactnow.org/us/alaska-ak/county/prince_of_wales_hyder_census_area,0.523,0.468,0,,3
02220,US,AK,Sitka City and Borough,county,,iso1:us#iso2:us-ak#fips:02220,,8493,0.024,other,25.2,,0.59,0.81,,,,3,0,3,4,0,4,4,1001,2,,,,52,,,0.37,0,,,,0,,5926,5694,2021-09-12,https://covidactnow.org/us/alaska-ak/county/sitka_city_and_borough,0.698,0.67,0,,3
02230,US,AK,Skagway Municipality,county,,iso1:us#iso2:us-ak#fips:02230,,1183,0.021,other,60.4,,,,,,,3,0,3,4,4,4,4,54,0,,,,,,,,,,,,0,,822,770,2021-09-12,https://covidactnow.org/us/alaska-ak/county/skagway_municipality,0.695,0.651,0,,3
02240,US,AK,Southeast Fairbanks Census Area,county,,iso1:us#iso2:us-ak#fips:02240,,6893,0.286,other,80.8,,1.13,0.71,,,,5,3,5,4,2,4,4,900,7,,,,,,,,,,,,0,,2067,1763,2021-09-12,https://covidactnow.org/us/alaska-ak/county/southeast_fairbanks_census_area,0.3,0.256,0,,3
02261,US,AK,Valdez-Cordova Census Area,county,,iso1:us#iso2:us-ak#fips:02261,,9202,,other,80.7,,0.87,0.64,,,,5,4,5,4,0,4,4,1148,2,,,,24,6,1,0.22,0,,,,0,,4948,4522,2021-09-12,https://covidactnow.org/us/alaska-ak/county/valdez_cordova_census_area,0.538,0.491,0,,3
02275,US,AK,Wrangell City and Borough,county,,iso1:us#iso2:us-ak#fips:02275,,2502,0.016,other,40.0,,,,,,,3,0,3,4,4,4,4,126,0,,,,8,,,0.19,0,,,,0,,1313,1276,2021-09-12,https://covidactnow.org/us/alaska-ak/county/wrangell_city_and_borough,0.525,0.51,0,,3
02282,US,AK,Yakutat City and Borough,county,,iso1:us#iso2:us-ak#fips:02282,,579,0.25,other,0.0,,1.0,1.17,,,,0,3,0,4,1,4,4,0,0,,,,,,,,,,,,0,,409,392,2021-09-12,https://covidactnow.org/us/alaska-ak/county/yakutat_city_and_borough,0.706,0.677,0,,3
02290,US,AK,Yukon-Koyukuk Census Area,county,,iso1:us#iso2:us-ak#fips:02290,,5230,0.036,other,114.7,,1.21,0.75,,,,5,1,5,4,2,4,4,476,4,,,,,,,,,,,,0,,3331,3103,2021-09-12,https://covidactnow.org/us/alaska-ak/county/yukon_koyukuk_census_area,0.637,0.593,0,,3
01001,US,AL,Autauga County,county,,iso1:us#iso2:us-al#fips:01001,,55869,0.263,other,73.4,,0.96,0.21,,,1.0,3,3,3,4,1,4,3,9241,119,,,,85,69,31,0.62,6,6,3,0.53,39,,23219,17557,2021-09-12,https://covidactnow.org/us/alabama-al/county/autauga_county,0.416,0.314,0,39597,3
01003,US,AL,Baldwin County,county,,iso1:us#iso2:us-al#fips:01003,,223234,0.223,other,57.9,,0.82,0.11,,,1.69,3,3,3,4,0,4,3,34779,412,,,,386,334,133,0.64,32,54,39,0.65,146,,117275,88211,2021-09-12,https://covidactnow.org/us/alabama-al/county/baldwin_county,0.525,0.395,1,192184,3
01005,US,AL,Barbour County,county,,iso1:us#iso2:us-al#fips:01005,,24686,0.353,other,67.1,,0.94,0.33,,,1.0,3,3,3,4,1,4,3,3272,67,,,,74,29,10,0.43,5,5,2,0.42,22,,10789,8098,2021-09-12,https://covidactnow.org/us/alabama-al/county/barbour_county,0.437,0.328,0,18750,3
