region,state,2018,2019,2020,label,type,USregion
"Los Angeles-Long Beach-Anaheim, CA",CA,677750,690109.8333333334,736750,SFR,sales,West
"Chicago, IL",IL,243791.66666666666,249312.5,266250,SFR,sales,Midwest
"Dallas-Fort Worth, TX",TX,265177.3333333333,272220.8333333333,291276.1666666667,SFR,sales,Southwest
"Philadelphia, PA",PA,241850.75,251899.16666666666,272862.4166666667,SFR,sales,Northeast
"Houston, TX",TX,236704.58333333334,245204.16666666666,260224.16666666666,SFR,sales,Southwest
"Washington, DC",DC,417580.5833333333,425232.3333333333,450508.25,SFR,sales,Southeast
"Miami-Fort Lauderdale, FL",FL,327020.4166666667,338079.1666666667,362741.6666666667,SFR,sales,Southeast
"Atlanta, GA",GA,243912.5,258761.33333333334,279578.3333333333,SFR,sales,Southeast
"Boston, MA",MA,454924.1666666667,473316,525336.1666666666,SFR,sales,Northeast
"San Francisco, CA",CA,828023.1666666666,838937.5,902666.6666666666,SFR,sales,West
"Detroit, MI",MI,184450,196147.25,214234.83333333334,SFR,sales,Midwest
"Riverside, CA",CA,372864.5833333333,382250,414415.8333333333,SFR,sales,West
"Phoenix, AZ",AZ,274974.5,291055.75,321331.6666666667,SFR,sales,Southwest
"Seattle, WA",WA,489678.3333333333,514972.0833333333,569407.3333333334,SFR,sales,West
"Minneapolis-St Paul, MN",MN,265038.3333333333,282957.75,304133.3333333333,SFR,sales,Midwest
"San Diego, CA",CA,617895.8333333334,626604.1666666666,676968.75,SFR,sales,West
"St. Louis, MO",MO,184824.91666666666,194004.5,210070.83333333334,SFR,sales,Midwest
"Tampa, FL",FL,230185.41666666666,241135.75,259969.66666666666,SFR,sales,Southeast
"Baltimore, MD",MD,297590.8333333333,307442.5,314070,SFR,sales,Northeast
"Denver, CO",CO,437140.25,445813,476054.1666666667,SFR,sales,West
"Pittsburgh, PA",PA,164779.16666666666,173935.41666666666,184294.5,SFR,sales,Northeast
"Portland, OR",OR,396881.25,408875,437260.4166666667,SFR,sales,West
"Charlotte, NC",NC,251350.33333333334,265540.6666666667,287204.1666666667,SFR,sales,Southeast
"San Antonio, TX",TX,223955.91666666666,231444.08333333334,247951,SFR,sales,Southwest
"Orlando, FL",FL,265048.1666666667,278608.3333333333,287786.6666666667,SFR,sales,Southeast
"Cincinnati, OH",OH,184033.33333333334,195025,213747,SFR,sales,Midwest
"Cleveland, OH",OH,148754.16666666666,157225,172770.83333333334,SFR,sales,Midwest
"Kansas City, MO",MO,212717.41666666666,225004.16666666666,246604.16666666666,SFR,sales,Midwest
"Las Vegas, NV",NV,298009.9166666667,314228.75,328244.3333333333,SFR,sales,West
"Columbus, OH",OH,209916.66666666666,222200,241812.5,SFR,sales,Midwest
"Indianapolis, IN",IN,182116.66666666666,196083.08333333334,220051.25,SFR,sales,Midwest
"San Jose, CA",CA,1152302.0833333333,1112145.8333333333,1188500,SFR,sales,West
"Austin, TX",TX,310571.6666666667,320833.75,349369.5833333333,SFR,sales,Southwest
"Virginia Beach, VA",VA,250502.33333333334,255379.16666666666,271581.25,SFR,sales,Southeast
"Nashville, TN",TN,281893.25,300359.9166666667,319846.25,SFR,sales,Southeast
"Providence, RI",RI,278845.3333333333,297162.5,327854.1666666667,SFR,sales,Northeast
"Milwaukee, WI",WI,214708.33333333334,212612.5,226116.66666666666,SFR,sales,Midwest
"Jacksonville, FL",FL,248846.5,256972.66666666666,271003.75,SFR,sales,Southeast
"Memphis, TN",TN,172391.66666666666,184887.5,206916.66666666666,SFR,sales,Southeast
