"","region","state","ZORI","USregion","Sales","List","Inventory"
"1","Akron, OH","OH",913.75,"Midwest",151162.972222222,164893.055555556,3824.52777777778
"2","Albuquerque, NM","NM",1117.88888888889,"Southwest",216895.444444444,279331.111111111,3613.5
"3","Allentown, PA","PA",1396.61111111111,"Northeast",204159.805555556,250173.333333333,3660.47222222222
"4","Atlanta, GA","GA",1460.83333333333,"Southeast",256644.805555556,334055.083333333,35201.3055555556
"5","Augusta, GA","GA",1055.61111111111,"Southeast",187225.25,236346.111111111,3480.19444444444
"6","Austin, TX","TX",1423.94444444444,"Southwest",324202.361111111,373910.416666667,8943.75
"7","Bakersfield, CA","CA",1196.52777777778,"West",247621.527777778,263908.472222222,3014.33333333333
"8","Baltimore, MD","MD",1573,"Northeast",300735.083333333,336072.111111111,12631.0277777778
"9","Baton Rouge, LA","LA",1186.36111111111,"Southeast",209329.222222222,249474.833333333,4971.83333333333
"10","Birmingham, AL","AL",1126.41666666667,"Southeast",208266.25,255652.305555556,6101.61111111111
"11","Boston, MA","MA",2455.55555555556,"Northeast",469959.75,588902.166666667,14194
"12","Charleston, SC","SC",1459.22222222222,"Southeast",286439.722222222,381810.861111111,6606.19444444444
"13","Charlotte, NC","NC",1387.97222222222,"Southeast",265941.5,351842.361111111,10846.6111111111
"14","Chicago, IL","IL",1656.52777777778,"Midwest",242516.666666667,330266.638888889,51752.4166666667
"15","Cincinnati, OH","OH",1173.41666666667,"Midwest",187700.138888889,275063.166666667,8387
"16","Cleveland, OH","OH",1145.11111111111,"Midwest",153260.027777778,188064,12087.6388888889
"17","Columbus, OH","OH",1206,"Midwest",212972.166666667,304777.222222222,6168.94444444444
"18","Dallas-Fort Worth, TX","TX",1427.16666666667,"Southwest",274672.194444444,348338.083333333,32368.4444444444
"19","Dayton, OH","OH",982.75,"Midwest",145383.333333333,167953.75,2739.05555555556
"20","Daytona Beach, FL","FL",1331.30555555556,"Southeast",222276.027777778,282269.888888889,6146.13888888889
"21","Des Moines, IA","IA",1077.52777777778,"Midwest",214270.138888889,281684.833333333,4260.83333333333
"22","Detroit, MI","MI",1209.33333333333,"Midwest",191939.583333333,250103.194444444,18527.25
"23","Fresno, CA","CA",1502.47222222222,"West",287576.388888889,353465.138888889,2263.97222222222
"24","Grand Rapids, MI","MI",1128.44444444444,"Midwest",208281.5,302338.833333333,3757.25
"25","Greensboro, NC","NC",1173.25,"Southeast",167566.25,259802.472222222,2524.69444444444
"26","Harrisburg, PA","PA",1045.52777777778,"Northeast",188976.388888889,248007.305555556,2142.77777777778
"27","Hartford, CT","CT",1410,"Northeast",231557.083333333,299424.972222222,5615.13888888889
"28","Houston, TX","TX",1376.69444444444,"Southwest",245228.027777778,319427.722222222,38845.0555555556
"29","Indianapolis, IN","IN",1168.38888888889,"Midwest",196078.111111111,269774.833333333,7713.05555555556
"30","Jackson, MS","MS",1189.38888888889,"Southeast",193377.444444444,250322.305555556,2772.91666666667
"31","Jacksonville, FL","FL",1304.08333333333,"Southeast",252565.916666667,306573.194444444,11651.9444444444
"32","Kansas City, MO","MO",1149.38888888889,"Midwest",226397.916666667,313658.194444444,9379.52777777778
"33","Knoxville, TN","TN",1189.44444444444,"Southeast",209450.416666667,290316.666666667,4314.13888888889
"34","Lakeland, FL","FL",1314.22222222222,"Southeast",206535.583333333,239064,4856.22222222222
"35","Las Vegas, NV","NV",1301.5,"West",302278.166666667,327591.888888889,12501.7777777778
"36","Little Rock, AR","AR",876.027777777778,"Southeast",170177.5,189847.722222222,4967.25
"37","Los Angeles-Long Beach-Anaheim, CA","CA",2360.02777777778,"West",663350.138888889,852604.805555556,26475.75
"38","Louisville-Jefferson County, KY","KY",1058.69444444444,"Southeast",193127.638888889,270955.277777778,5111.08333333333
"39","Madison, WI","WI",1220.83333333333,"Midwest",272929.5,337497.861111111,2938.38888888889
"40","Memphis, TN","TN",1237.75,"Southeast",188341.833333333,218445.666666667,5689.58333333333
"41","Miami-Fort Lauderdale, FL","FL",1893.41666666667,"Southeast",296252.916666667,403276,63933.3611111111
"42","Milwaukee, WI","WI",1109.13888888889,"Midwest",208561.111111111,239450,4364.63888888889
"43","Minneapolis-St Paul, MN","MN",1498.5,"Midwest",279604.722222222,376650.944444444,13769.4444444444
"44","New Haven, CT","CT",1394.55555555556,"Northeast",229608.555555556,317046.361111111,3681.47222222222
"45","Oklahoma City, OK","OK",1071.80555555556,"Southwest",186056.805555556,269494.722222222,7541.25
"46","Omaha, NE","NE",1051.30555555556,"Midwest",200254.166666667,309394.75,3536.83333333333
"47","Orlando, FL","FL",1497.36111111111,"Southeast",266015.722222222,320424.444444444,13661.1944444444
"48","Philadelphia, PA","PA",1573.5,"Northeast",252724.166666667,289297.75,26059.7222222222
"49","Phoenix, AZ","AZ",1334.52777777778,"Southwest",291370.222222222,365661.138888889,24995.0555555556
"50","Pittsburgh, PA","PA",1155.27777777778,"Northeast",175333.722222222,194626.388888889,9809.22222222222
"51","Portland, OR","OR",1567.05555555556,"West",404567.5,474695.916666667,9952.58333333333
"52","Providence, RI","RI",1456.72222222222,"Northeast",290231.416666667,380968.944444444,6540.80555555556
"53","Provo, UT","UT",1300.41666666667,"West",327191.333333333,409861.472222222,3216.86111111111
"54","Raleigh, NC","NC",1366.47222222222,"Southeast",294722.222222222,376926.111111111,7449
"55","Riverside, CA","CA",1888.88888888889,"West",383813.75,423824.111111111,18807.6666666667
"56","San Antonio, TX","TX",1183.38888888889,"Southwest",232971.833333333,288102.25,14246.3055555556
"57","San Diego, CA","CA",2249.63888888889,"West",597694.444444444,748312.777777778,8648.27777777778
"58","San Francisco, CA","CA",3055.38888888889,"West",823298.75,901144.333333333,7716.13888888889
"59","San Jose, CA","CA",3052.52777777778,"West",1080504.44444444,1154981.5,2758.83333333333
"60","Seattle, WA","WA",1936.30555555556,"West",498817.472222222,615620.388888889,11247.8611111111
"61","St. Louis, MO","MO",1095.25,"Midwest",190847.972222222,231141.888888889,12970.3333333333
"62","Stamford, CT","CT",2259.94444444444,"Northeast",416620.277777778,742576.166666667,6285.55555555556
"63","Syracuse, NY","NY",1135.47222222222,"Northeast",146954.305555556,164108.416666667,2401
"64","Tampa, FL","FL",1443.66666666667,"Southeast",235121.111111111,275897,19183.0833333333
"65","Toledo, OH","OH",947.222222222222,"Midwest",129192.361111111,164544.111111111,2243.86111111111
"66","Tucson, AZ","AZ",1125.55555555556,"Southwest",226536.833333333,295136.5,4556.63888888889
"67","Tulsa, OK","OK",980.555555555556,"Southwest",176468.138888889,233093,5152.36111111111
"68","Virginia Beach, VA","VA",1281.41666666667,"Southeast",254408.333333333,289916,11307.8055555556
"69","Washington, DC","DC",2006.13888888889,"Southeast",419354.555555556,487844.805555556,22110.1944444444
"70","Winston-Salem, NC","NC",1294.36111111111,"Southeast",174916.666666667,266771.25,2472.88888888889
